<HTML>
<BODY>
<PRE>
Cue, Mss, Assoc, Rank, Strength
EMPEROR, 15, ROME, 16, .01
ENCYCLOPEDIA, 14, BRITTANICA, 5, .10
END, 8, THE, 9, .02
ENEMY, 17, NOBODY, 17, .01
ENEMY, 17, RIVAL, 18, .01
ENERGY, 22, ENTHUSIASTIC, 9, .03
ENERGY, 22, SOLAR, 11, .03
ENERGY, 22, PEP, 13, .02
ENERGY, 22, VIBRANT, 23, .01
ENGAGE, 18, COMBAT, 11, .01
ENGAGE, 18, INTERACT, 15, .01
ENGAGE, 18, INVOLVE, 16, .01
ENGINE, 16, #9, 9, .02
ENGINE, 16, TURBO, 17, .01
ENGINEER, 24, ELECTRICAL, 14, .02
ENGLISH, 16, BRITISH, 14, .02
ENRAGE, 10, FURIOUS, 5, .02
ENRAGE, 10, LIVID, 8, .01
ENTERTAIN, 20, BORE, 15, .01
ENTERTAIN, 20, PERFORMER, 19, .01
ENVELOPE, 10, ENCLOSE, 7, .02
ENVELOPE, 10, MANILA, 9, .01
ENVIRONMENT, 21, ENDANGERED, 11, .02
EQUAL, 15, EQUIVALENT, 13, .01
ERA, 16, EPOCH, 14, .01
ERASER, 10, ERASE, 8, .02
ERASER, 10, DELETE, 9, .01
ERUPT, 6, ORGASM, 7, .01
ESCAPE, 19, GET AWAY, 17, .01
ESCAPE, 19, GET LOOSE, 18, .01
ESSENCE, 20, BARE, 14, .01
ESSENCE, 20, GIST, 17, .01
ETERNAL, 11, EXTERNAL, 4, .04
ETERNAL, 11, EVERLASTING, 7, .02
ETERNAL, 11, UNENDING, 12, .01
ETERNITY, 10, LIFETIME, 10, .01
ETHICS, 19, BLACKS, 8, .02
ETHICS, 19, MORALITY, 11, .02
ETHICS, 19, RACIAL, 18, .01
ETHICS, 19, RACISM, 19, .01
ETIQUETTE, 11, MS. MANNERS, 11, .01
EUROPE, 24, BRITAIN, 15, .01
EUROPE, 24, GERMANY, 18, .01
EUROPE, 24, ROME, 24, .01
EUROPE, 24, SPAIN, 25, .01
EVALUATE, 24, OVERALL, 23, .01
EVEN, 9, BALANCED, 6, .02
EVEN, 9, STEVEN, 9, .01
EVENT, 22, OCCURRENCE, 9, .04
EVENT, 22, GALA, 17, .02
EVENT, 22, OCCASION, 18, .02
EVER, 14, SOMETIME, 14, .01
EVERYTHING, 8, GOES, 7, .02
EVERYTHING, 8, SUCKS, 8, .02
EVERYTHING, 8, ELSE, 9, .01
EVIDENCE, 16, CAUGHT, 12, .01
EXACT, 14, ALMOST, 9, .01
EXAMINE, 14, CLOSELY, 10, .01
EXAMINE, 14, INVESTIGATE, 11, .01
EXAMPLE, 22, E.G., 7, .02
EXAMPLE, 22, ILLUSTRATION, 9, .02
EXAMPLE, 22, DEMONSTRATION, 13, .01
EXAMPLE, 22, EX, 15, .01
EXCEDRIN, 10, PM, 9, .02
EXCEDRIN, 10, BUFFERIN, 11, .01
EXCELLENT, 14, SUPERB, 8, .03
EXCELLENT, 14, MARVELOUS, 13, .01
EXCEPTIONAL, 18, GRADES, 16, .01
EXCEPTIONAL, 18, SUPERB, 18, .01
EXCHANGE, 16, CURRENCY, 13, .02
EXCHANGE, 16, RINGS, 16, .01
EXCISE, 16, EXPEL, 13, .01
EXCISE, 16, RID, 14, .01
EXCISE, 16, TAKE OUT, 15, .01
EXECUTIVE, 19, C.E.O., 15, .01
EXECUTIVE, 19, CLIENT, 17, .01
EXERCISE, 28, JAZZERCISE, 19, .02
EXERCISE, 28, SPA, 29, .01
EXHALE, 6, EXHAUST, 4, .03
EXIST, 20, ARE, 15, .01
EXIST, 20, NONEXISTENT, 16, .01
EXIST, 20, SUSTAIN, 21, .01
EXISTENCE, 14, NON-EXISTENT, 14, .01
EXISTENCE, 14, SURVIVAL, 15, .01
EXPENSE, 15, PAID, 15, .01
EXPERIENCE, 19, INEXPERIENCE, 13, .01
EXPERIENCE, 19, WORLDLY, 20, .01
EXPERIMENT, 15, POINTS, 7, .04
EXPERIMENT, 15, THIS, 11, .02
EXPERT, 18, KNOWLEDGEABLE, 13, .02
EXPERT, 18, LAYMAN, 16, .01
EXPERT, 18, SPECIALIST, 18, .01
EXPERT, 18, TESTIMONY, 19, .01
EXPLAIN, 17, THIS, 17, .01
EXPLOSION, 15, BLOW UP, 9, .03
EXPLOSION, 15, IMPLOSION, 15, .01
EXPRESS, 16, YOURSELF, 10, .03
EXPRESS, 16, LIMITED, 11, .02
EXPRESS, 16, RELATE, 17, .01
EXPRESSION, 16, EXCLAMATION, 12, .01
EXPRESSION, 16, GESTURE, 13, .01
EXTENSION, 14, CONTINUATION, 11, .01
EXTENSION, 14, CONTRACTION, 12, .01
EXTENSION, 14, ELONGATION, 13, .01
EXTINCT, 13, ENDANGERED, 7, .02
EXTINCT, 13, NO MORE, 12, .01
EXTINCT, 13, NONEXISTENT, 13, .01
EXTINCT, 13, SPECIES, 14, .01
EXTRA, 18, ADDED, 7, .02
EXTRA, 18, EXCESS, 8, .02
EXTRA, 18, LEFTOVER, 9, .02
EXTRA, 18, POINTS, 19, .01
EYE, 13, GLASSY, 11, .02
EYE, 13, BROW, 12, .02
EYES, 15, LASHES, 10, .03
EYES, 15, PUPILS, 11, .03
FABLE, 8, AESOP, 4, .05
FABRIC, 15, SOFTENER, 10, .02
FABRIC, 15, BURLAP, 13, .01
FABRIC, 15, TEXTILE, 15, .01
FABRIC, 15, TEXTURE, 16, .01
FACE, 20, COMPLEXION, 12, .02
FACE, 20, FRECKLES, 17, .02
FACTOR, 15, X, 13, .02
FACTOR, 15, G, 14, .01
FACTOR, 15, INCLUDE, 15, .01
FACTORY, 24, BUILT, 17, .01
FACTORY, 24, OUTPUT, 22, .01
FAD, 16, PASSING, 15, .01
FAD, 16, TEMPORARY, 17, .01
FADE, 23, DISCOLOR, 15, .02
FADE, 23, DYE, 19, .02
FADE, 23, LIGHTEN, 21, .02
FAIL, 21, UNSUCCESSFUL, 15, .02
FAILURE, 21, F, 19, .01
FAINT, 18, COLLAPSE, 8, .03
FAINT, 18, BLACK OUT, 10, .02
FAINT, 18, REVIVE, 15, .01
FAIR, 25, FEBRUARY, 19, .01
FAIR, 25, FERRIS WHEEL, 20, .01
FAIRYTALE, 14, CINDERELLA, 4, .05
FAIRYTALE, 14, GRIMM, 8, .03
FAITH, 12, HEALER, 8, .02
FAITHFUL, 23, UNFAITHFUL, 14, .03
FAITHFUL, 23, COMMITTED, 15, .02
FAITHFUL, 23, MONOGAMOUS, 17, .02
FAITHFUL, 23, STEADFAST, 24, .01
FAME, 13, HOLLYWOOD, 14, .01
FAMINE, 11, DROUGHT, 9, .02
FAMINE, 11, PESTILENCE, 12, .02
FANCY, 19, DECORATIVE, 13, .03
FANCY, 19, DRESSY, 14, .03
FANCY, 19, ORNATE, 18, .02
FANGS, 14, CLAWS, 8, .03
FANGS, 14, WHITE FANG, 15, .01
FANTASTIC, 15, SAM, 7, .03
FANTASTIC, 15, AMAZING, 10, .02
FANTASTIC, 15, ECSTATIC, 13, .01
FANTASTIC, 15, INCREDIBLE, 15, .01
FAR, 12, FETCHED, 10, .01
FAR, 12, FROM, 11, .01
FARMER, 33, HICK, 10, .03
FARMER, 33, PLANTER, 17, .02
FARMER, 33, OVERALLS, 22, .01
FARMER, 33, DELL, 27, .01
FASTEN, 17, CLASP, 17, .01
FAT, 16, ALBERT, 10, .03
FATE, 13, KARMA, 13, .01
FATE, 13, MEANT-TO-BE, 14, .01
FATTENING, 20, CHOLESTEROL, 10, .02
FATTENING, 20, SWEETS, 14, .02
FATTENING, 20, COOKIES, 16, .01
FAUCET, 7, SPIGOT, 6, .03
FAULT, 20, MY, 15, .02
FAVOR, 21, DEED, 11, .02
FAVOR, 21, REPAY, 19, .01
FAWN, 6, BAMBI, 5, .02
FEAR, 17, PHOBIA, 10, .02
FEAR, 17, TREMBLE, 18, .01
FEAST, 15, GORGE, 10, .02
FEAST, 15, GLUTTON, 15, .01
FEAST, 15, PIG OUT, 16, .01
FEATHER, 14, DUSTER, 7, .03
FEATHERS, 9, RUFFLE, 8, .01
FEDERAL, 18, DEFICIT, 18, .01
FEE, 10, TUITION, 6, .04
FEED, 15, NOURISH, 15, .02
FEELING, 18, SENSATION, 17, .01
FEELING, 18, SENSES, 18, .01
FELL, 18, TOPPLE, 16, .01
FELLOW, 17, FELLOWSHIP, 7, .03
FELLOW, 17, CLASSMATE, 11, .02
FELLOW, 17, COMRADE, 12, .01
FELLOW, 17, DUDE, 13, .01
FEMALE, 12, FEMININE, 8, .01
FENCE, 20, ENCLOSE, 16, .02
FENCE, 20, KEEP OUT, 20, .02
FESTIVAL, 13, CLOWNS, 9, .01
FESTIVAL, 13, GALA, 11, .01
FESTIVAL, 13, RIDES, 14, .01
FEVER, 14, BLISTER, 5, .03
FEW, 12, SPARSE, 7, .03
FEW, 12, NOT MANY, 8, .02
FIELD, 34, ARTILLERY, 24, .01
FIERCE, 15, FEROCIOUS, 11, .02
FIGHT, 24, ROCKY, 10, .03
FIGHT, 24, BLACK EYE, 17, .01
FILM, 12, KODAK, 10, .01
FILTH, 8, PORNOGRAPHY, 6, .02
FIN, 12, DORSAL, 7, .02
FINANCIAL, 13, ACCOUNTANT, 7, .02
FINANCIAL, 13, MONETARY, 9, .02
FIND, 11, LOCATE, 8, .02
FINE, 20, COARSE, 9, .03
FINGER, 12, INDEX, 10, .01
FINGERS, 8, PHALANGES, 6, .01
FINISHED, 9, UNFINISHED, 6, .03
FIRE, 18, HYDRANT, 12, .02
FIRE, 18, EXTINGUISHER, 19, .01
FIREPLACE, 15, HEARTH, 10, .03
FIREPLACE, 15, MANTLE, 14, .02
FIRM, 20, BREASTS, 10, .03
FISH, 24, FOWL, 22, .01
FISHING, 15, GROUPER, 13, .01
FIT, 21, SNUG, 7, .05
FIT, 21, PHYSICALLY, 18, .01
FITNESS, 20, CRAZE, 12, .02
FITNESS, 20, WELLNESS, 13, .02
FIVE, 14, BUCKS, 12, .01
FIVE, 14, JACKSONS, 13, .01
FIVE, 14, RINGS, 15, .01
FIX, 9, IT, 10, .01
FLAG, 12, RED&WHITE&BLUE, 9, .03
FLAKE, 9, AIRHEAD, 7, .01
FLAME, 14, THROWER, 6, .03
FLAME, 14, GAY, 12, .01
FLAP, 25, FLOP, 9, .04
FLASH, 11, GORDON, 4, .12
FLASHLIGHT, 17, HEADLIGHT, 13, .01
FLASHLIGHT, 17, MAG-LIGHT, 15, .01
FLASK, 17, THERMOS, 18, .01
FLEX, 14, EXTEND, 10, .01
FLEX, 14, TIGHTEN, 15, .01
FLICK, 18, BIC, 4, .06
FLICK, 18, FLACK, 16, .01
FLIGHT, 9, AVIATION, 8, .01
FLING, 13, FLIRT, 9, .01
FLING, 13, FRISBEE, 10, .01
FLIPPER, 7, PINBALL, 6, .02
FLOAT, 17, BUOYANT, 7, .04
FLOAT, 17, BOB, 9, .01
FLOAT, 17, ROOT BEER, 16, .01
FLOOD, 12, DROUGHT, 7, .02
FLOUR, 13, SIFT, 13, .01
FLOUR, 13, TORTILLA, 14, .01
FLUFFY, 11, PUFFY, 10, .03
FLUID, 13, URINE, 14, .01
FLUSH, 16, CLEANSE, 10, .01
FLUSH, 16, COMMODE, 11, .01
FLUTE, 19, PICCOLO, 16, .01
FLUTE, 19, SAX, 18, .01
FLUTTER, 18, BLINK, 10, .01
FLUTTER, 18, BY, 11, .01
FLUTTER, 18, FLIT, 15, .01
FOAM, 19, GEL, 12, .02
FOAM, 19, RABIES, 14, .02
FOAM, 19, BIRTH CONTROL, 17, .01
FOCUS, 18, USF, 15, .02
FOE, 8, ALLY, 5, .03
FOE, 8, IRAQ, 9, .01
FOG, 25, HUMIDITY, 12, .02
FOIL, 12, REYNOLDS, 7, .03
FOIL, 12, COIL, 9, .01
FOLDER, 13, MANILA, 11, .02
FOLDER, 13, POCKETS, 13, .02
FOND, 15, AFFECTIONATE, 7, .02
FOND, 15, OF, 15, .01
FOOD, 18, NOURISH, 16, .01
FOOD, 18, NOURISHMENT, 17, .01
FOOTBALL, 23, PIGSKIN, 13, .03
FOOTBALL, 23, JERSEY, 18, .01
FORBID, 22, DON'T, 7, .04
FORBID, 22, CAN'T, 9, .04
FORBID, 22, NOT ALLOW, 13, .02
FORBID, 22, DON'T LET, 18, .01
FORBIDDEN, 20, NOT ALLOW, 5, .07
FORBIDDEN, 20, DON'T, 8, .02
FORBIDDEN, 20, TRESPASS, 20, .01
FORBIDDEN, 20, UNABLE, 21, .01
FORCE, 17, PRY, 13, .02
FORCE, 17, EXERT, 15, .01
FORCEFUL, 23, ABUSIVE, 17, .01
FORCEFUL, 23, AGAINST WILL, 18, .01
FORCEFUL, 23, UNWILLING, 23, .01
FOREHEAD, 19, CHIN, 8, .03
FOREHEAD, 19, WRINKLES, 13, .02
FOREHEAD, 19, BANGS, 15, .01
FOREHEAD, 19, FOREARM, 17, .01
FOREVER, 14, UNENDING, 15, .01
FORGET, 11, ME NOT, 4, .03
FORMULA, 17, 44 D, 14, .01
FORMULA, 17, BABY FOOD, 16, .01
FORTUNE, 14, MISFORTUNE, 15, .01
FOSSIL, 13, ARTIFACT, 8, .03
FOSSIL, 13, ARCHEOLOGY, 12, .01
FOUND, 5, RECOVER, 5, .01
FOUND, 5, RETRIEVE, 6, .01
FOUNDATION, 19, BASIS, 16, .01
FRAIL, 15, STURDY, 16, .01
FRANKENSTEIN, 13, MARY SHELLEY, 9, .02
FRANKENSTEIN, 13, BOLTS, 11, .01
FRAUD, 17, SCAM, 10, .02
FRAUD, 17, IMPOSTER, 15, .01
FRAUD, 17, SCANDAL, 16, .01
FREAK, 17, OUTCAST, 18, .01
FRECKLE, 12, BLEMISH, 8, .02
FRECKLE, 12, REDHEAD, 9, .02
FREE, 26, ENSLAVE, 19, .01
FREE, 26, GERMANY, 20, .01
FREEWAY, 13, EXPRESSWAY, 10, .02
FREEWAY, 13, I-75, 13, .01
FREEWAY, 13, JAMMED, 14, .01
FREEZE, 15, FROSTBITE, 13, .01
FREEZER, 10, FRIDGE, 10, .02
FREEZER, 10, ICE BOX, 11, .02
FRENCH, 17, CUISINE, 9, .03
FRESH, 21, RIPE, 20, .01
FRIED, 18, BROILED, 14, .01
FRIED, 18, OKRA, 18, .01
FRIED, 18, SUNBURN, 19, .01
FRIEND, 22, ALLY, 11, .02
FRIEND, 22, COMRADE, 18, .01
FRIENDLINESS, 19, LIKEABLE, 9, .02
FRIENDLINESS, 19, AMIABLE, 11, .01
FRIENDLINESS, 19, COURTEOUS, 13, .01
FRIENDLINESS, 19, MEANT, 15, .01
FRIENDLY, 15, UNFRIENDLY, 8, .04
FRIENDLY, 15, AMIABLE, 11, .01
FRIENDLY, 15, HATEFUL, 13, .01
FRIENDSHIP, 21, UNITY, 21, .01
FRISK, 12, FRISKY, 11, .01
FROG, 20, TADPOLE, 14, .02
FROG, 20, AMPHIBIAN, 17, .01
FROWN, 11, SIGH, 11, .01
FUDGE, 11, BROWNIE, 7, .03
FULL, 11, STUFFED, 8, .02
FUMES, 16, TOXIC, 10, .03
FUMES, 16, EXHAUST, 11, .02
FUNCTION, 20, DYSFUNCTION, 14, .01
FUNGI, 14, AMOEBA, 12, .01
FUNGUS, 16, ATHLETES FOOT, 14, .01
FUNNY, 17, COMIC, 11, .03
FUNNY, 17, HYSTERICAL, 17, .01
FUSE, 19, CIRCUIT, 15, .01
FUSE, 19, WIRES, 20, .01
FUZZ, 25, BUSTER, 4, .07
FUZZ, 25, NAVEL, 16, .02
FUZZ, 25, FLUFF, 22, .01
GAG, 17, THROW-UP, 6, .03
GAG, 17, BARF, 9, .02
GALLON, 13, LITER, 8, .03
GALLOP, 6, POLL, 5, .03
GAMBLE, 12, CASINO, 8, .04
GAMBLE, 12, VEGAS, 9, .04
GAMES, 13, NINTENDO, 7, .03
GANDER, 9, GAZE, 5, .02
GANGSTER, 12, CAPONE, 4, .05
GARAGE, 12, CARPORT, 9, .02
GARBAGE, 14, DISPOSAL, 11, .01
GARBAGE, 14, RUBBISH, 15, .01
GARDEN, 14, EDEN, 9, .02
GATE, 12, PEARLY, 12, .01
GATHER, 20, SCATTER, 6, .03
GATHER, 20, BELONGINGS, 7, .02
GATHER, 20, SORT, 20, .01
GATHERING, 16, REUNION, 11, .02
GAUZE, 13, STERILE, 11, .03
GAZELLE, 15, HORNS, 8, .03
GENERAL, 21, OVERALL, 7, .03
GENERAL, 21, ADMIRAL, 11, .01
GENERAL, 21, INTRODUCTION, 19, .01
GENIUS, 10, IQ, 11, .02
GENTLE, 18, BEN, 10, .02
GENTLEMAN, 16, CHIVALRY, 13, .01
GENTLEMAN, 16, COURTEOUS, 14, .01
GENTLEMAN, 16, DUDE, 16, .01
GENUINE, 15, AUTHENTIC, 9, .03
GEOLOGY, 9, GEOGRAPHY, 8, .02
GEOMETRY, 11, ANALYTICAL, 9, .01
GERM, 16, MICROSCOPIC, 16, .02
GERM, 16, WARFARE, 17, .02
GET, 23, GOT, 9, .04
GHOST, 24, CASPER, 8, .04
GHOST, 24, BOO, 13, .02
GHOST, 24, IMAGINARY, 16, .02
GHOST, 24, SUPERNATURAL, 23, .01
GIANT, 17, BEANSTALK, 10, .03
GIANT, 17, JOLLY, 12, .03
GIRLS, 10, FEMALES, 9, .02
GIRLS, 10, DRESSES, 11, .01
GIVE, 13, OFFER, 9, .02
GLACIER, 6, TITANIC, 7, .01
GLAD, 7, SATISFIED, 8, .01
GLASS, 21, WARE, 22, .01
GLASSES, 16, FOUR EYES, 17, .01
GLIDE, 21, SKIM, 13, .02
GLIDE, 21, GLIDER, 17, .01
GLOBE, 10, TROTTER, 10, .01
GLORY, 19, HALLELUJAH, 5, .07
GLOVES, 19, MITTENS, 7, .03
GLOVES, 19, STERILE, 15, .02
GLUE, 8, ELMER'S, 4, .11
GO, 14, FORTH, 13, .01
GO, 14, TO, 14, .01
GO, 14, WENT, 15, .01
GOAL, 21, ORIENTED, 16, .02
GOAT, 16, BILLY, 7, .04
GOAT, 16, BAA, 14, .01
GOAT, 16, TROLL, 16, .01
GOBLIN, 12, TROLL, 9, .02
GOD, 23, ALL KNOWING, 10, .03
GOD, 23, DEITY, 20, .01
GOD, 23, OMNIPOTENT, 22, .01
GODDESS, 19, ATHENA, 10, .02
GOING, 9, WENT, 6, .05
GOLDEN, 19, ARCHES, 8, .04
GOLDEN, 19, GRAHAM, 10, .04
GOLDEN, 19, RETRIEVER, 14, .02
GOLF, 14, TEE, 10, .03
GOLF, 14, MINIATURE, 14, .01
GOLF, 14, PAR, 15, .01
GORGEOUS, 17, HUNK, 12, .02
GORGEOUS, 17, BABE, 15, .01
GORILLA, 14, IN THE MIST, 7, .03
GORILLA, 14, WARFARE, 11, .02
GORILLA, 14, KING KONG, 14, .01
GOSSIP, 14, CHATTER, 8, .01
GOSSIP, 14, MALICE, 11, .01
GOVERNMENT, 19, BUREAUCRACY, 10, .02
GOVERNMENT, 19, ECONOMICS, 16, .02
GOVERNOR, 13, STATESMAN, 11, .02
GOWN, 11, NEGLIGEE, 11, .02
GRAB, 18, CLUTCH, 11, .01
GRAB, 18, GROPE, 13, .01
GRACEFUL, 15, KLUTZ, 9, .03
GRADE, 14, CLASSIFICATION, 12, .02
GRADUATE, 20, SENIOR, 10, .03
GRADUATE, 20, ACCOMPLISHMENT, 15, .01
GRADUATE, 20, FINALLY, 17, .01
GRADUATE, 20, SCHOLAR, 20, .01
GRAMMAR, 11, USAGE, 6, .04
GRAND, 17, BUFFET, 9, .02
GRAND, 17, SLAM, 11, .02
GRAND, 17, OLE OPREY, 13, .01
GRAND, 17, SPECTACULAR, 16, .01
GRANT, 12, ULYSSES, 13, .01
GRAPH, 11, LINES, 5, .14
GRAPH, 11, AXIS, 10, .01
GRASP, 13, LET GO, 6, .03
GRASS, 14, HOPPER, 6, .03
GRASS, 14, ROOTS, 12, .02
GRASSHOPPER, 14, KUNG FU, 9, .03
GRAVE, 22, REMEMBRANCE, 21, .01
GRAVE, 22, SOLEMN, 22, .01
GRAVEL, 12, QUARRY, 13, .01
GRAVITY, 16, DENSITY, 15, .01
GRAVITY, 16, WEIGHTLESS, 17, .01
GRAY, 17, DISMAL, 12, .01
GRAY, 17, GREY, 13, .01
GRAZE, 11, NICK, 10, .01
GREAT, 18, GREATER, 14, .01
GREAT, 18, MAGNIFICENT, 17, .01
GREATEST, 14, AMERICAN HERO, 13, .01
GREED, 13, AVARICE, 10, .01
GREED, 13, MISER, 12, .01
GREEK, 19, GODS, 12, .02
GREEK, 19, GREECE, 15, .01
GREEN, 17, CLOVER, 9, .02
GRIEF, 13, STRICKEN, 6, .04
GRIND, 23, CHURN, 15, .01
GRIND, 23, GEARS, 16, .01
GRIND, 23, SHRED, 22, .01
GRIND, 23, SKATEBOARD, 23, .01
GRIT, 17, COARSE, 14, .01
GRIZZLY, 8, ADAMS, 4, .03
GROCERIES, 11, SUPPLIES, 9, .02
GROCERIES, 11, PUBLIX, 10, .01
GROCERY, 9, PUBLIX, 8, .02
GROUP, 23, CLIQUE, 13, .02
GROVE, 11, COCONUT, 10, .01
GROW, 24, EXPAND, 14, .02
GROW, 24, STUNT, 25, .01
GROWN, 16, SHRUNK, 9, .04
GUARDIAN, 6, PROTECTOR, 6, .02
GUESS, 20, UNCERTAIN, 13, .02
GUESS, 20, DON'T KNOW, 16, .02
GUIDE, 14, MANUAL, 11, .02
GUILT, 19, RIDDEN, 18, .01
GUILTY, 18, DEFENDANT, 13, .01
GUITAR, 16, STRUM, 12, .02
GUITAR, 16, SOLD, 17, .01
GULLIBLE, 12, AIRHEAD, 11, .01
GULLIBLE, 12, MCFLY, 13, .01
GULP, 12, 7-ELEVEN, 8, .01
GULP, 12, CHUG, 9, .01
GUMS, 9, GINGIVITIS, 5, .02
GUMS, 9, BLEED, 7, .01
GUN, 18, HOLSTER, 10, .03
GUY, 8, DUDE, 8, .01
GYM, 17, SMELLY, 11, .02
HAIR, 19, CURL, 16, .01
HAIRSPRAY, 19, GEL, 7, .03
HAIRSPRAY, 19, AEROSOL, 14, .01
HAIRSPRAY, 19, SALON, 19, .01
HALF, 8, FRACTION, 8, .02
HALL, 19, FOYER, 11, .03
HALL, 19, AISLE, 13, .02
HALLWAY, 20, AISLE, 13, .01
HALLWAY, 20, CLASSROOM, 14, .01
HAM, 18, HOCK, 17, .01
HAM, 18, PINEAPPLE, 18, .01
HAMBURGER, 13, PATTY, 11, .02
HAMBURGER, 13, BURGER KING, 13, .01
HANDKERCHIEF, 19, BOOGER, 14, .02
HANDKERCHIEF, 19, HANKY, 17, .01
HANDLE, 20, COPE, 16, .01
HANDSOME, 13, GOOD LOOKING, 9, .05
HANG, 29, DANGLE, 16, .02
HANG, 29, SUSPEND, 18, .02
HAPPINESS, 14, BLISS, 10, .01
HAPPINESS, 14, GLEE, 13, .01
HAPPY, 8, ELATED, 8, .01
HARMFUL, 17, FATAL, 15, .01
HARMONY, 12, DISHARMONY, 9, .01
HARP, 17, HARMONICA, 14, .01
HARSH, 17, ABRASIVE, 15, .01
HARVEST, 21, OCTOBER, 14, .02
HATCH, 11, BORN, 6, .04
HATCHET, 13, TOMAHAWK, 11, .02
HATE, 12, LOATHE, 11, .01
HAUNT, 8, LINGER, 6, .02
HAWAII, 18, FIVE 0, 7, .04
HAWAII, 18, PALMS, 17, .01
HAY, 18, BALE, 9, .03
HAY, 18, HAYRIDE, 13, .02
HAYSTACK, 15, HAYRIDE, 13, .01
HAZARD, 16, DUKE, 13, .01
HAZE, 13, DAZE, 9, .02
HAZE, 13, GLOOM, 12, .02
HEADACHE, 13, POUNDING, 7, .02
HEADACHE, 13, BACKACHE, 10, .01
HEAL, 19, MIRACLE, 15, .02
HEAL, 19, RECOVER, 19, .01
HEALTHY, 19, NUTRITIOUS, 12, .02
HEALTHY, 19, UNHEALTHY, 13, .02
HEARING, 12, IMPAIRED, 8, .04
HEART, 16, THROB, 12, .02
HEART ATTACK, 21, ARTERIES, 13, .01
HEART ATTACK, 21, CARDIAC, 15, .01
HEART ATTACK, 21, CORONARY, 16, .01
HEART ATTACK, 21, GRANDFATHER, 18, .01
HEART ATTACK, 21, UNHEALTHY, 22, .01
HEAVY, 16, LADEN, 13, .01
HEEL, 10, ACHILLES, 6, .02
HELL, 13, HADES, 11, .01
HELP, 23, SOS, 14, .02
HELPER, 17, HINDER, 13, .01
HELPER, 17, USEFUL, 17, .01
HEN, 10, PECK, 5, .03
HEN, 10, CLUCKING, 10, .01
HERITAGE, 21, FORD, 17, .01
HERITAGE, 21, NATIONALITY, 19, .01
HERITAGE, 21, PILGRIM, 20, .01
HERITAGE, 21, ROOTS, 21, .01
HERO, 18, BATMAN, 12, .02
HEROIN, 13, WONDER WOMAN, 5, .05
HEROINE, 10, ADDICTIVE, 8, .01
HEROINE, 10, SUPERWOMAN, 10, .01
HESITATE, 18, STUTTER, 9, .02
HESITATE, 18, PROCRASTINATE, 14, .01
HESITATE, 18, REACT, 16, .01
HESITATE, 18, RESIST, 17, .01
HIDDEN, 28, CONCEAL, 8, .03
HIDDEN, 28, COVERT, 16, .01
HIDDEN, 28, IN COGNITO, 20, .01
HIDDEN, 28, REVEAL, 24, .01
HIDDEN, 28, SEEN, 27, .01
HIDDEN, 28, VALLEY RANCH, 28, .01
HIGH SCHOOL, 20, SUCKED, 5, .04
HIGH SCHOOL, 20, LOCKER, 16, .01
HIGH SCHOOL, 20, MIDDLE SCHOOL, 17, .01
HIGHWAY, 14, EXPRESSWAY, 11, .02
HIGHWAY, 14, SPEED LIMIT, 15, .01
HIKER, 21, BIKER, 6, .03
HIKING, 18, JOGGING, 11, .02
HIKING, 18, BIKING, 12, .01
HILARIOUS, 5, HUMOROUS, 6, .01
HILL, 14, DALE, 5, .05
HILL, 14, MOUND, 10, .03
HINGE, 6, HOLD UP, 6, .02
HIP, 18, HIP-HUGGERS, 11, .02
HIP, 18, PELVIS, 12, .02
HIT, 18, HOME RUN, 11, .02
HITCHHIKE, 19, DON'T, 11, .02
HITCHHIKE, 19, HITCHHIKER, 12, .02
HITCHHIKE, 19, PICK-UP, 14, .02
HOBBY, 29, PAST TIME, 5, .04
HOBBY, 29, HOLLY, 20, .01
HOBBY, 29, LEISURE, 22, .01
HOBBY, 29, MY, 25, .01
HOBO, 7, TRANSIENT, 7, .01
HOCKEY, 13, FIGHTS, 7, .02
HOLD, 17, LET GO, 10, .03
HOLDER, 19, GIVER, 12, .01
HOLDER, 19, PAPERS, 17, .01
HOLE, 24, GOPHER, 16, .02
HOLE, 24, IN ONE, 17, .02
HOLY, 15, MOSES, 11, .02
HOLY, 15, GRAIL, 13, .01
HOMELESS, 18, NO HOME, 17, .01
HOMELESS, 18, TRANSIENT, 19, .01
HOMEWORK, 20, HARD WORK, 6, .03
HOMEWORK, 20, TIRESOME, 8, .03
HONEST, 18, ABE, 7, .04
HONEST, 18, DECEITFUL, 10, .02
HONESTY, 16, DISHONESTY, 7, .03
HONESTY, 16, VERACITY, 17, .01
HONEY, 10, DEAR, 7, .02
HONEYMOON, 15, NEWLYWEDS, 12, .02
HONOR, 25, DISHONOR, 11, .02
HOOP, 11, SOUTHERN BELLE, 11, .02
HOOT, 13, HOOTER, 8, .01
HOOT, 13, POLLUTE, 11, .01
HOPE, 19, BOB, 10, .02
HOPE, 19, HOPEFUL, 18, .01
HORN, 15, BEEP, 9, .03
HORRIBLE, 18, HAGAR, 6, .03
HORRIBLE, 18, TERRIFY, 12, .02
HORROR, 11, MANIAC, 12, .01
HORSE, 16, AND BUGGY, 8, .02
HORSE, 16, SHIT, 10, .02
HORSE, 16, JOCKEY, 15, .01
HOSE, 13, PANTY, 7, .03
HOSE, 13, SPIGOT, 13, .01
HOSTESS, 17, CUPCAKE, 6, .03
HOSTESS, 17, SERVE, 17, .01
