TARGET, BSSQ, BSGQ, ESSQ*, ESGQ, BFQ, BFSS, BFSG, EFQ, EFSS, EFSG, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC, TUI
MATCH, ¥, ¥, 10, .12, , ¥, ¥, -ATCH, 7, .14, 18, 41, 5.31, N, N, .89, .33, .011, 1, 1.00
MATE, 21, .01, 25, .15, MA--, 22, .09, -ATE, 7, .10, 19, 21, 4.97, G, N, 3.37, .26, .013, 1, 1.00
MATH, 15, .12, 6, .05, MA--, 22, .05, -ATH, 4, .41, 19, 4, 3.78, , N, 2.26, .58, .161, 1, 1.00
MATTER*, 15, .01, 14, .30, , ¥, ¥, -ATTER, 6, .36, 25, 342, ¥, , N, 1.30, .26, .007, 1, .92
MAYBE*, 21, .16, 2, .12, MAY--, 2, .71, -AYBE, 1, .92, 23, 134, ¥, , AD, ¥, ¥, ¥, 0, .48
MAYOR, 21, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 20, 38, 4.75, , N, 2.47, .11, .013, 1, .95
MAZE, 21, .02, 20, .26, MA--, 22, .01, , ¥, ¥, 13, 6, 5.02, , N, 1.38, .15, .015, 1, 1.00
ME, ¥, ¥, 33, .10, M-, 3, .69, , ¥, ¥, 12, 1181, 5.00, , P, ¥, ¥, ¥, 0, .92
MEADOW, 15, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 17, 6.69, , N, 2.50, .13, .014, 1, 1.00
MEAL, ¥, ¥, 17, .10, ME--, 12, .12, , ¥, ¥, 6, 30, 5.98, T, N, 2.50, .83, .033, 1, 1.00
MEAN, ¥, ¥, 19, .08, ME--, 12, .13, , ¥, ¥, 18, 199, 3.09, N, N, 1.53, .59, .126, 1, .94
MEASUREMENT, 15, 0.00, 14, 0.00, , ¥, ¥, , ¥, ¥, 23, 34, 4.33, , N, 1.96, .09, .003, 1, 1.00
MEAT, ¥, ¥, 17, .18, ME--, 12, .36, -E-T, 18, .10, 17, 45, 6.93, , N, 1.82, .53, .078, 1, 1.00
MECHANIC, 15, 0.00, 21, 0.00, , ¥, ¥, , ¥, ¥, 14, 5, 6.33, , N, 2.21, .14, .001, 1, 1.00
MEDAL, 15, 0.00, ¥, ¥, M--AL, 5, .02, , ¥, ¥, 14, 7, 5.59, , N, 1.71, .36, .012, 1, 1.00
MEDICAL, 15, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 12, 162, ¥, , AJ, 2.00, .08, 0.000, 1, 1.00
MEDICINE, ¥, ¥, ¥, ¥, MEDI----, 8, .48, -----INE, 8, .08, 27, 30, 5.27, , N, 2.42, .39, .041, 1, .96
MEDIEVAL, ¥, ¥, 15, 0.00, MEDI----, 8, .05, , ¥, ¥, 13, 18, ¥, , AJ, ¥, ¥, ¥, 0, .69
MEDIOCRE, ¥, ¥, ¥, ¥, MEDI----, 8, .01, , ¥, ¥, 17, 5, ¥, , AJ, ¥, ¥, ¥, 0, .88
MEEK, ¥, ¥, 17, .05, ME--, 12, .01, , ¥, ¥, 16, 10, 3.37, , AJ, 2.08, .15, .006, 1, .81
MEET, ¥, ¥, 17, .05, ME--, 12, .13, -E-T, 24, .04, 18, 148, 3.37, , V, ¥, ¥, ¥, 0, .89
MELLOW*, 15, .01, 6, .27, , ¥, ¥, --LLOW, 8, .18, 13, 1, ¥, , AJ, 1.31, .15, .010, 1, 1.00
MELT, 15, .02, 7, .17, ME--, 12, .09, -E-T, 18, .01, 17, 4, 4.04, , V, 1.50, .25, .008, 1, .94
MEMBER, 15, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 18, 137, 5.60, , N, 1.50, .29, .007, 1, .78
MEN, 15, .06, 12, .06, , ¥, ¥, , ¥, ¥, 10, 763, 6.09, , N, ¥, ¥, ¥, 0, .70
MEND, 15, 0.00, 17, .11, ME--, 12, .01, , ¥, ¥, 11, 2, 3.54, , V, 1.36, .46, .032, 1, 1.00
MEOW, ¥, ¥, ¥, ¥, ME--, 12, .06, , ¥, ¥, 3, 0, ¥, , I, .67, .33, .001, 1, 1.00
MESS, 15, .07, 20, .27, ME--, 12, .01, , ¥, ¥, 18, 22, 3.75, T, N, 1.67, .13, .006, 1, .83
MESSAGE, 15, 0.00, 5, 0.00, , ¥, ¥, ----AGE, 25, .07, 16, 64, 4.55, , N, 1.67, .13, .024, 1, .94
MESSY, 15, .07, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 3, 3.30, , AJ, 3.36, .29, .081, 1, .82
METAL, 15, .03, ¥, ¥, M--AL, 5, .18, , ¥, ¥, 16, 61, 6.76, , N, 1.19, .56, .057, 1, 1.00
METEOR, ¥, ¥, 28, 0.00, , ¥, ¥, , ¥, ¥, 16, 3, ¥, , N, 3.47, .20, .009, 1, .94
MICE, ¥, ¥, 15, .21, , ¥, ¥, , ¥, ¥, 15, 10, ¥, , N, 1.69, 0.00, 0.000, 1, .87
MIDDLE*, 12, .04, 7, .05, , ¥, ¥, -IDDLE, 4, .43, 19, 118, 2.83, , AJ, .89, .32, .084, 1, 1.00
MIGHT, ¥, ¥, 19, .19, , ¥, ¥, -IGHT, 8, .06, 16, 672, 2.40, W, V, ¥, ¥, ¥, 0, .88
MILD, ¥, ¥, 14, .14, , ¥, ¥, , ¥, ¥, 20, 14, 3.26, , AJ, 1.22, .06, 0.000, 1, .90
MILE, ¥, ¥, 15, .11, , ¥, ¥, , ¥, ¥, 16, 48, 4.71, , N, 2.25, .25, .098, 1, 1.00
MILITARY, 12, 0.00, 8, 0.00, , ¥, ¥, , ¥, ¥, 19, 212, ¥, , AJ, 1.78, .39, .013, 1, .95
MILK, ¥, ¥, 3, .67, , ¥, ¥, --LK, 11, .41, 18, 49, 6.66, , N, 1.29, .59, .161, 1, .94
MILL, 12, 0.00, 15, .02, , ¥, ¥, -ILL, 11, .05, 22, 11, ¥, , N, .90, .15, .009, 1, .91
MIND, ¥, ¥, 12, .12, , ¥, ¥, -IND, 7, .44, 10, 325, 2.60, N, N, 1.67, .78, .034, 1, .90
MINE, ¥, ¥, 21, .14, , ¥, ¥, -INE, 8, 8.00, 11, 59, 4.37, N, N, 1.22, .44, .395, 1, .82
MINERAL, 12, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 12, 12, ¥, , N, .82, .27, .003, 1, .92
MINK, ¥, ¥, 18, .05, , ¥, ¥, -INK, 8, .08, 7, 5, 5.68, , N, 1.50, .33, .024, 1, .86
MINT, 12, .01, 11, .10, , ¥, ¥, , ¥, ¥, 24, 7, ¥, N, N, 2.05, 0.00, 0.000, 1, .92
MINTS, 12, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 13, 7, 5.63, , N, 1.91, 0.00, 0.000, 1, .85
MISS, 12, .12, 9, .26, , ¥, ¥, -ISS, 4, .10, 14, 258, 3.68, N, V, .85, .23, .036, 1, .93
MISSILE*, ¥, ¥, 6, .16, , ¥, ¥, , ¥, ¥, 21, 48, 6.80, , N, 2.13, .13, .002, 1, .71
MIST, 16, .10, 16, .13, , ¥, ¥, -IST, 4, .06, 11, 14, 4.42, , N, 1.91, .46, .098, 1, 1.00
MISTAKE, 12, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 11, 34, 2.70, , N, 1.64, .46, .170, 1, 1.00
MISTER, 12, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 12, 10, 3.32, , N, ¥, ¥, ¥, 0, .42
MISTREAT, 12, 0.00, 17, 0.00, , ¥, ¥, , ¥, ¥, 16, 0, ¥, , V, 1.80, .07, .021, 1, .94
MITTEN, 12, .03, ¥, ¥, , ¥, ¥, -ITTEN, 3, .09, 9, 2, 6.37, , N, 1.00, .11, .079, 1, 1.00
MIX, 12, .06, 16, .11, , ¥, ¥, , ¥, ¥, 14, 13, ¥, , V, 1.46, .54, .193, 1, .93
MOAT, ¥, ¥, 15, .08, MO--, 15, .06, , ¥, ¥, 15, 0, 4.98, , N, 2.00, .07, .027, 1, .93
MOB, ¥, ¥, 16, .09, , ¥, ¥, -OB, 7, .11, 10, 10, 5.10, , N, 2.00, .40, .042, 1, 1.00
MODEL*, 9, 0.00, 4, .80, MO---, 22, .02, ---EL, 17, .03, 20, 77, ¥, T, N, 1.05, .25, .006, 1, 1.00
MODERN, 9, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 198, ¥, , AJ, 1.73, .27, .021, 1, 1.00
MOIST, 16, .01, 3, .15, MO---, 22, .02, , ¥, ¥, 5, 11, 3.51, , AJ, 1.60, .60, .010, 1, 1.00
MOLD, 16, .01, 11, .17, , ¥, ¥, -OLD, 8, .10, 15, 45, 4.75, N, N, 1.43, .50, .051, 1, .93
MOLE, 16, .01, 19, .08, MO--, 15, .18, -OLE, 6, .21, 26, 4, 5.86, C, N, 1.70, .13, .007, 1, .88
MOM, 9, .04, ¥, ¥, , ¥, ¥, , ¥, ¥, 5, 3, 6.40, , N, 1.20, .60, .541, 1, 1.00
MOMENT, 16, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 14, 246, 2.68, , N, 1.14, .14, .001, 1, 1.00
MONASTERY, 9, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 7, 2, 5.44, , N, 2.14, .29, .044, 1, 1.00
MONEY*, 16, .01, 4, .18, MO---, 22, .21, -ONEY, 2, .43, 19, 265, 5.77, , N, 1.39, .89, .312, 1, .95
MONK, ¥, ¥, 18, .03, , ¥, ¥, , ¥, ¥, 8, 16, 6.63, , N, 2.14, .43, .047, 1, .88
MONKEY, 16, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 22, 9, 5.46, , N, 1.24, .38, .115, 1, .95
MONTH, ¥, ¥, ¥, ¥, MO---, 22, .10, , ¥, ¥, 17, 130, 3.20, , N, ¥, ¥, ¥, 0, .41
MOO, 9, .10, 32, .06, , ¥, ¥, , ¥, ¥, 2, 0, ¥, , V, 0.00, 1.00, .059, 1, .50
MOOD, 9, .04, 16, .25, MO--, 15, .03, -OOD, 5, .10, 17, 37, 1.52, , N, 2.25, .38, .020, 1, .94
MOON, 9, .10, 22, .32, MO--, 15, .09, -OON, 6, .37, 10, 60, 5.68, , N, 1.90, .70, .063, 1, 1.00
MOOSE, 9, .04, 8, .34, MO---, 22, .01, -OOSE, 4, .31, 18, 0, 6.03, , N, 2.17, .22, .014, 1, 1.00
MOP, 9, .01, 16, .11, , ¥, ¥, -OP, 6, .18, 13, 3, 6.29, , N, 1.46, .39, .030, 1, 1.00
MORAL*, ¥, ¥, 9, .21, M--AL, 5, .21, , ¥, ¥, 22, 142, 1.39, , AJ, 1.05, .09, .021, 1, 1.00
MORE, ¥, ¥, 28, .21, MO--, 15, .08, -ORE, 8, .21, 9, 2216, 2.77, , AJ, 1.25, .50, .400, 1, .89
MORON, ¥, ¥, ¥, ¥, MO---, 22, .02, , ¥, ¥, 10, 0, ¥, , N, 2.50, .25, .023, 1, .80
MORSE, ¥, ¥, 7, .01, , ¥, ¥, , ¥, ¥, 5, 29, ¥, , AJ, .80, .20, .066, 1, 1.00
MOSS, 9, .03, 10, .20, MO--, 15, .12, -OSS, 4, .21, 11, 9, 5.60, , N, 1.62, .25, .001, 1, .73
MOST, 16, .01, 8, .08, MO--, 15, .06, , ¥, ¥, 12, 1160, 3.17, , AJ, 2.25, .42, .112, 1, 1.00
MOTEL, 16, .01, ¥, ¥, MO---, 22, .02, ---EL, 17, .01, 13, 24, 6.18, , N, 1.00, .25, .099, 1, .92
MOTH, 9, .21, 4, .14, MO--, 15, .05, -OTH, 2, .42, 14, 1, 5.46, , N, 1.71, .14, .030, 1, 1.00
MOTHER, 16, .15, ¥, ¥, , ¥, ¥, ----ER, 37, .05, 13, 216, 5.47, , N, 2.46, .69, .439, 1, 1.00
MOTION*, 16, .02, 10, .26, , ¥, ¥, -OTION, 4, .29, 16, 55, 3.63, T, N, 1.93, .40, .046, 1, .94
MOTOR, 16, .04, ¥, ¥, MO---, 22, .12, ---OR, 11, .03, 13, 56, 6.24, , N, 1.83, .25, .021, 1, .92
MOTORCYCLE, 16, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 20, 0, ¥, , N, .94, .29, .062, 1, .85
MOUNTAIN, 5, .07, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 33, 6.25, , N, 1.29, .50, .169, 1, .82
MOUSE, 5, .27, 7, .23, MO---, 22, .05, -OUSE, 3, .32, 10, 10, 6.12, , N, 1.30, .70, .192, 1, 1.00
MOUTH, 5, .41, ¥, ¥, MO---, 22, .01, -OUTH, 3, .66, 19, 103, 5.47, , N, 1.58, .47, .098, 1, 1.00
MOVE, 9, .59, ¥, ¥, MO--, 15, .06, -OVE, 4, .03, 27, 171, 3.81, , V, 2.54, .33, .019, 1, .89
MOVEMENT, 9, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 128, 4.03, , N, 2.12, .31, .056, 1, 1.00
MOVIE, 9, .01, ¥, ¥, MO---, 22, .01, , ¥, ¥, 21, 29, 5.85, , N, 2.19, .81, .259, 1, 1.00
MOW, 16, .47, 35, .03, , ¥, ¥, , ¥, ¥, 7, 0, ¥, , V, 1.83, .33, .062, 1, .86
MOWER, ¥, ¥, ¥, ¥, MO---, 22, .02, , ¥, ¥, 6, 0, ¥, , N, 2.00, .50, .127, 1, .67
MUCH, 16, 0.00, 7, .13, , ¥, ¥, --CH, 8, .32, 9, 937, 2.38, , AJ, 2.57, .29, .010, 1, .78
MUCK, 16, .19, 12, .22, , ¥, ¥, -UCK, 7, .01, 18, 1, ¥, , N, 1.60, .13, .003, 1, .83
MUD, 16, .07, 14, .36, , ¥, ¥, -UD, 5, .48, 10, 32, 6.02, , N, 1.10, .40, .174, 1, 1.00
MUFFIN, 16, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 14, 1, 6.53, , N, 1.64, .21, .050, 1, 1.00
MUG, 16, .08, 16, .21, , ¥, ¥, -UG, 9, .08, 9, 1, 5.72, N, N, 1.75, .50, .019, 1, .89
MULE, 12, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 11, 4, 5.39, , N, 1.50, .40, .019, 1, .91
MULTIPLY, 16, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 11, 10, 3.55, , V, 1.45, .36, .125, 1, 1.00
MUMMY, 16, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 1, 5.38, , N, .79, .07, .003, 1, .93
MUNCH, 16, 0.00, 8, .07, , ¥, ¥, --NCH, 12, .05, 7, 1, 4.08, , V, 2.29, .29, .009, 1, 1.00
MUSCLE*, 16, 0.00, 6, .15, , ¥, ¥, , ¥, ¥, 22, 42, 6.00, , N, 1.60, .50, .053, 1, .91
MUSEUM, 12, 0.00, 18, 0.00, , ¥, ¥, , ¥, ¥, 16, 32, ¥, , N, .83, 0.00, 0.000, 1, .75
MUSHROOM, 16, 0.00, 17, 0.00, , ¥, ¥, , ¥, ¥, 22, 2, ¥, , N, .84, .11, .012, 1, .86
MUSIC, 12, .50, ¥, ¥, , ¥, ¥, , ¥, ¥, 25, 216, 5.15, , N, 2.64, .88, .108, 1, 1.00
MUSK, ¥, ¥, 5, .33, , ¥, ¥, -USK, 4, .41, 11, 0, 4.11, , N, 1.22, .11, 0.000, 1, .82
MUST, 16, .04, 14, .18, , ¥, ¥, -UST, 7, .10, 17, 1013, 2.93, , V, ¥, ¥, ¥, 0, .76
MUSTACHE, 16, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 9, 1, 5.77, , N, 1.56, .11, .138, 1, 1.00
MUSTARD, 16, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 10, 20, 5.64, , N, .78, .44, .304, 1, .90
MUSTY, ¥, ¥, ¥, ¥, , ¥, ¥, --STY, 10, .01, 17, 0, 3.76, , AJ, 1.87, .07, .004, 1, .88
MUTE, 12, .11, 11, 0.00, , ¥, ¥, --TE, 14, .02, 10, 3, ¥, , AJ, 2.00, .11, .031, 1, .90
MYSTERY, 12, 0.00, 33, 0.00, , ¥, ¥, , ¥, ¥, 19, 39, ¥, , N, 1.69, .38, .048, 1, .84
NAG, 11, .39, 18, .26, , ¥, ¥, -AG, 10, .04, 15, 0, 3.60, T, V, ¥, ¥, ¥, 0, .80
NAIL, 13, .02, 28, 0.00, , ¥, ¥, --IL, 17, .04, 6, 6, 5.60, T, N, .33, .67, .512, 1, 1.00
NAILS, 12, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 11, 14, 6.96, , N, .50, .10, .001, 1, .91
NAIVE, ¥, ¥, 15, 0.00, , ¥, ¥, , ¥, ¥, 15, 7, ¥, , AJ, 2.58, .33, .024, 1, .80
NAME, 13, .04, 15, .01, , ¥, ¥, , ¥, ¥, 20, 294, 3.96, , N, 1.22, .44, .026, 1, .90
NAP, 11, .36, 20, .11, , ¥, ¥, -AP, 10, .05, 11, 4, ¥, T, V, 1.45, .18, .001, 1, 1.00
NAPKIN, 11, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 19, 3, 5.29, , N, 2.05, .16, .038, 1, 1.00
NARROW*, 11, .01, 9, .17, , ¥, ¥, , ¥, ¥, 12, 63, 3.43, , AJ, 1.00, .17, .075, 1, 1.00
NASTY, 11, .02, 33, 0.00, , ¥, ¥, --STY, 10, .05, 12, 5, 2.63, , AJ, 2.58, .42, .030, 1, 1.00
NATION*, 13, .01, 18, .54, , ¥, ¥, , ¥, ¥, 12, 139, 4.17, , N, 2.09, .09, .002, 1, .92
NATIONAL, 11, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 20, 375, ¥, , AJ, ¥, ¥, ¥, 0, .80
NATIVE, 13, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 46, 4.67, , AJ, ¥, ¥, ¥, 0, .67
NATURE, 13, .01, 7, 0.00, , ¥, ¥, , ¥, ¥, 19, 191, ¥, , N, 1.68, .42, .008, 1, 1.00
NAUSEA, 11, .16, ¥, ¥, , ¥, ¥, , ¥, ¥, 9, 3, ¥, , N, ¥, ¥, ¥, 0, .78
NAVY, 13, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 10, 37, 5.08, , N, 2.56, .44, .279, 1, .90
NEAR, ¥, ¥, 22, .05, , ¥, ¥, -EAR, 9, .02, 2, 198, 3.29, , AD, 1.00, 1.00, .305, 1, 1.00
NEAT, 9, .03, 17, .03, , ¥, ¥, , ¥, ¥, 12, 21, 3.10, , AJ, 2.36, .55, .102, 1, .92
NECK, 9, .45, 14, .14, , ¥, ¥, -E-K, 16, .01, 19, 81, 5.83, , N, 1.61, .39, .056, 1, .95
NEED, 9, .43, 26, .13, , ¥, ¥, -EED, 7, .12, 8, 360, 3.10, G, V, .71, .43, .175, 1, .88
NEEDLE, 9, .04, ¥, ¥, , ¥, ¥, , ¥, ¥, 8, 15, 5.79, , N, 2.12, .88, .433, 1, 1.00
NEGATIVE, 9, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 10, 53, ¥, , AJ, .89, .33, .380, 1, .90
NEIGHBOR*, 13, .36, 3, .38, , ¥, ¥, , ¥, ¥, 10, 14, ¥, , N, ¥, ¥, ¥, 0, .80
NEPHEW, 9, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 11, 9, 6.19, , N, 2.36, .18, .316, 1, 1.00
NEPTUNE, ¥, ¥, ¥, ¥, , ¥, ¥, ----UNE, 4, .09, 15, 3, ¥, , N, 3.71, .21, .004, 1, .93
NERD, ¥, ¥, 9, .24, , ¥, ¥, -E-D, 21, .01, 11, 0, ¥, , N, ¥, ¥, ¥, 0, .64
NERVE, ¥, ¥, 8, .13, , ¥, ¥, , ¥, ¥, 24, 12, 4.51, , N, ¥, ¥, ¥, 0, .79
NEST, 9, .06, 20, .08, , ¥, ¥, -EST, 8, .09, 4, 20, 5.46, G, N, 0.00, .25, .042, 1, 1.00
NET, 15, .13, 19, .02, , ¥, ¥, -ET, 10, .02, 14, 34, 5.46, N, N, 1.00, .23, .019, 1, .93
NEVER, 9, .13, ¥, ¥, , ¥, ¥, --VER, 14, .03, 9, 698, 2.49, , AD, 1.11, .67, .204, 1, 1.00
NEW, ¥, ¥, 32, .01, , ¥, ¥, -EW, 8, .21, 10, 1635, 3.44, , AJ, 1.00, .67, .366, 1, .90
NICE, 9, .06, 15, .25, NI--, 6, .28, -ICE, 5, .34, 14, 75, 2.75, , AJ, 2.93, .71, .118, 1, 1.00
NICOTINE, ¥, ¥, 19, 0.00, , ¥, ¥, , ¥, ¥, 7, 1, 5.63, , N, 1.71, 0.00, 0.000, 1, 1.00
NIECE, 9, .01, 11, .06, , ¥, ¥, , ¥, ¥, 9, 8, ¥, , N, 2.67, .11, .313, 1, 1.00
NIGHT, 9, .33, 19, .02, , ¥, ¥, -IGHT, 8, .10, 6, 411, 4.83, G, N, .50, .67, .606, 1, 1.00
NIGHTGOWN, 9, .01, 9, 0.00, , ¥, ¥, , ¥, ¥, 16, 0, 6.40, , N, ¥, ¥, ¥, 0, .75
NINE, 9, .07, 21, .03, NI--, 6, .18, -INE, 8, .04, 9, 81, ¥, , N, ¥, ¥, ¥, 0, .67
NO, ¥, ¥, 35, .07, , ¥, ¥, , ¥, ¥, 9, 2201, 3.14, , AD, .57, .71, .643, 1, .78
NOISE, ¥, ¥, ¥, ¥, , ¥, ¥, --ISE, 8, .01, 14, 37, 5.29, , N, 2.15, .69, .166, 1, .93
NONE, 8, .16, 16, .22, N0--, 8, .28, -ONE, 12, .09, 11, 108, 2.84, , P, 2.18, .46, .161, 1, 1.00
NOODLES, 11, .16, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 0, 5.75, , N, 1.71, .36, .053, 1, .82
NOON, ¥, ¥, 22, .02, NO--, 8, .04, -OON, 6, .19, 13, 25, ¥, , N, 1.23, .31, .017, 1, 1.00
NOOSE, ¥, ¥, 8, .04, , ¥, ¥, -OOSE, 4, .02, 12, 3, 5.28, , N, 1.17, .17, .018, 1, 1.00
NORM, ¥, ¥, 6, .08, NO--, 8, .01, --RM, 11, .06, 26, 10, 2.18, , N, 2.91, .17, .005, 1, .88
NOSE, ¥, ¥, 22, .19, NO--, 8, .25, -OSE, 6, .09, 15, 60, 6.26, , N, .75, .58, .047, 1, .80
NOT, ¥, ¥, 8, .02, , ¥, ¥, -OT, 9, .07, 21, 4609, 2.68, , AD, ¥, ¥, ¥, 0, .71
NOTE, ¥, ¥, 15, .02, NO--, 8, .23, , ¥, ¥, 16, 127, 4.36, N, N, 1.43, .29, .045, 1, .88
NOTHING, 8, .19, ¥, ¥, NOT----, 5, .41, ----ING, 55, 0.00, 15, 412, 1.88, , N, 1.62, .69, .109, 1, .87
NOTION*, ¥, ¥, 10, .08, , ¥, ¥, -OTION, 4, .10, 6, 40, 1.82, , N, .67, .17, .007, 1, 1.00
NOUN, ¥, ¥, 9, .21, NO--, 8, 0.00, --UN, 4, .04, 7, 1, 3.93, , N, 2.43, .57, .486, 1, 1.00
NOVEL*, ¥, ¥, 3, .23, , ¥, ¥, , ¥, ¥, 7, 59, 5.34, N, N, 1.17, .50, .030, 1, .86
NOW, ¥, ¥, 11, .04, , ¥, ¥, -OW, 11, .04, 9, 1314, 3.02, , AD, ¥, ¥, ¥, 0, .78
NUMBER, 8, .04, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 472, 3.76, G, N, 1.31, .81, .041, 1, .94
NUMBERS, 8, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 125, ¥, , N, .50, .25, .019, 1, .80
NUN, 8, .01, 16, .04, , ¥, ¥, -UN, 7, .08, 15, 2, 6.76, , N, 2.00, .50, .053, 1, .93
NURSE, ¥, ¥, 11, .09, , ¥, ¥, , ¥, ¥, 10, 17, 5.48, , N, 2.11, .44, .218, 1, .90
NUT, 8, .33, 15, .01, , ¥, ¥, , ¥, ¥, 14, 15, ¥, N, N, 1.50, .67, .113, 1, .86
OAK, ¥, ¥, 16, .04, , ¥, ¥, , ¥, ¥, 9, 15, 5.51, , N, 1.33, .56, .036, 1, 1.00
OAR, ¥, ¥, 28, 0.00, O--, 10, .03, , ¥, ¥, 5, 0, 5.68, , N, 1.80, .60, .014, 1, 1.00
OASIS, ¥, ¥, 9, 0.00, , ¥, ¥, , ¥, ¥, 11, 0, ¥, , N, 1.80, .20, .006, 1, .91
OBLIGATION, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 19, 16, ¥, , N, ¥, ¥, ¥, 0, .89
OCEAN*, ¥, ¥, 10, .07, , ¥, ¥, --EAN, 4, .01, 17, 34, 5.63, , N, 2.31, .69, .169, 1, .94
ODD, ¥, ¥, 12, .01, , ¥, ¥, -OD, 7, .02, 7, 44, 2.60, W, AJ, 1.71, .71, .368, 1, 1.00
OFF, ¥, ¥, 6, .03, O--, 10, .06, , ¥, ¥, 2, 639, 2.77, G, AD, 0.00, .50, .788, 1, 1.00
OFFENSE, ¥, ¥, ¥, ¥, , ¥, ¥, ---ENSE, 5, .03, 7, 8, 2.63, G, N, .57, .14, .190, 1, 1.00
OFTEN, ¥, ¥, 12, 0.00, , ¥, ¥, , ¥, ¥, 18, 368, ¥, , AD, 2.06, .31, .093, 1, .89
OIL, ¥, ¥, ¥, ¥, O--, 10, .06, , ¥, ¥, 17, 93, 5.60, , N, 1.20, .60, .078, 1, .88
OKAY, ¥, ¥, 26, .01, , ¥, ¥, , ¥, ¥, 13, 20, 2.41, , N, ¥, ¥, ¥, 0, .77
OLD, ¥, ¥, 11, .01, O--, 10, .12, , ¥, ¥, 9, 660, 3.41, , AJ, .38, .75, .532, 1, .89
ONE, ¥, ¥, 16, .02, O--, 10, .24, , ¥, ¥, 6, 3292, 3.72, G, AJ, .80, .80, .141, 1, .83
OPEN, ¥, ¥, ¥, ¥, , ¥, ¥, --EN, 11, .03, 5, 319, 3.72, G, AJ, 1.60, 1.00, .340, 1, 1.00
OPENER, ¥, ¥, ¥, ¥, , ¥, ¥, ---NER, 12, .03, 4, 6, ¥, , N, .25, .50, .036, 1, 1.00
ORDER*, ¥, ¥, 8, .06, , ¥, ¥, , ¥, ¥, 22, 376, 3.37, N, N, 1.05, .42, .014, 1, .86
ORDINARY, ¥, ¥, 8, 0.00, , ¥, ¥, , ¥, ¥, 15, 72, ¥, , AJ, 3.58, .33, .029, 1, .80
ORE, ¥, ¥, 28, 0.00, O--, 10, .05, --E, 24, 0.00, 8, 3, 5.98, , N, 1.57, .14, .011, 1, .88
ORGAN*, ¥, ¥, 4, .06, , ¥, ¥, , ¥, ¥, 12, 26, 5.81, N, N, 1.45, .55, .046, 1, .92
ORGANIZATION, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 18, 127, ¥, , N, 1.76, .12, .007, 1, .94
ORIENT, ¥, ¥, ¥, ¥, , ¥, ¥, --IENT, 2, .27, 19, 4, ¥, G, N, ¥, ¥, ¥, 0, .74
OUCH, ¥, ¥, ¥, ¥, , ¥, ¥, --CH, 8, .17, 7, 0, 3.23, , I, 2.20, 1.00, .036, 1, .71
OUNCE, ¥, ¥, 6, .03, , ¥, ¥, , ¥, ¥, 13, 3, 4.98, , N, 1.42, .33, .063, 1, .92
OUT, ¥, ¥, 19, .02, O--, 10, .25, , ¥, ¥, 6, 2096, 2.40, G, AD, .20, .40, .758, 1, .83
OUTGOING, ¥, ¥, 25, 0.00, , ¥, ¥, , ¥, ¥, 27, 8, ¥, , AJ, ¥, ¥, ¥, 0, .67
OUTSTANDING, ¥, ¥, 25, 0.00, , ¥, ¥, , ¥, ¥, 19, 37, ¥, , AJ, 3.37, .21, .003, 1, 1.00
OVAL, ¥, ¥, ¥, ¥, , ¥, ¥, -VAL, 1, .61, 10, 8, 4.03, , AJ, 1.33, .11, .001, 1, .90
