TARGET, K&F FREQ, Accessibility Index
PUT, 437, 7
SUNDAY, 101, 7
INTENSE, 0, 7
INTEREST, 330, 7
SOOTHE, 2, 7
COZY, 1, 7
RANGE, 160, 7
PRIZE, 28, 7
STRUCTURE, 91, 7
PRINTER, 18, 7
MIAMI, 0, 7
SWEAR, 10, 7
TEASE, 6, 7
LENS, 12, 7
INFECTION, 8, 7
LANE, 30, 7
INDIVIDUAL, 239, 7
GEM, 4, 7
CODE, 40, 7
MILE, 48, 7
HAPPEN, 63, 7
BELONG, 37, 7
IMAGINATION, 65, 7
BLUSH, 2, 7
SOMEONE, 0, 7
DIVISION, 107, 6
EVIDENCE, 204, 6
GRIEF, 10, 6
FOOLISH, 16, 6
SMEAR, 2, 6
UNITE, 10, 6
PAPERS, 0, 6
SUNNY, 13, 6
PROVE, 53, 6
DOCK, 8, 6
CHILL, 14, 6
SELECT, 23, 6
CREATOR, 14, 6
UNSEEN, 5, 6
OF, 0, 6
LEAST, 343, 6
COACH, 24, 6
JOHN, 0, 6
OATH, 6, 6
BURIAL, 11, 6
PASSAGE, 49, 6
UTENSIL, 3, 6
COMPROMISE, 0, 6
MAGICIAN, 4, 6
USF, 0, 6
JOG, 1, 6
MEMORIES, 15, 6
CONFLICT, 52, 6
CRAYON, 1, 6
TREASURE, 4, 6
PUBLIC, 438, 6
FRUSTRATION, 10, 6
OBTAIN, 42, 6
OBSTACLE, 10, 6
STAB, 3, 6
CRUISE, 2, 6
OATS, 7, 6
OBJECTIVE, 91, 6
GRIME, 0, 6
SACRED, 38, 6
DIRECTOR, 101, 6
RAZOR, 15, 6
WITHIN, 0, 6
TRUSTWORTHY, 3, 6
PROGRESS, 0, 6
OVERCOME, 26, 6
ROBIN, 2, 6
TYLENOL, 0, 6
GIANT, 23, 6
OUTLET, 9, 6
OUTSTANDING, 37, 6
DISINTEGRATE, 2, 6
REPRESENTATIVE, 0, 6
REPLY, 42, 6
CONDOM, 0, 6
GRAPH, 17, 6
DISCUSS, 28, 6
PADDLE, 1, 6
PAIL, 4, 6
OZONE, 3, 6
FOLDER, 1, 6
ROOMMATE, 1, 6
SURGEON, 11, 6
CLOTHING, 0, 6
DISCUSSION, 126, 6
TUNA, 0, 6
STAFF, 113, 6
STACK, 9, 6
ENOUGH, 430, 6
BURY, 6, 6
RAW, 43, 6
HOLLER, 0, 6
LOYALTY, 22, 6
ASIA, 44, 6
HINT, 9, 6
SEAGULL, 1, 6
DITCH, 10, 6
ROBBERY, 10, 6
FADE, 2, 6
GALLON, 6, 6
BOOT, 13, 6
OUNCE, 3, 6
PROM, 0, 6
IMPOSSIBLE, 84, 6
PAJAMAS, 3, 6
PALM, 22, 6
UNCLE, 57, 6
REPUBLICAN, 54, 6
REPTILE, 0, 6
UNABLE, 0, 6
BRIDE, 33, 6
COMPREHEND, 10, 6
ZIT, 0, 6
MATTER, 342, 6
HAZE, 7, 6
WART, 11, 6
INDEPENDENT, 70, 6
COMMUNICATE, 13, 6
AGENT, 44, 6
ADVISE, 10, 6
BUN, 1, 6
EGYPT, 14, 6
MOVING, 0, 6
CHARITY, 8, 6
WAVES, 46, 6
RIFLE, 63, 6
WARNING, 44, 6
CAUGHT, 0, 6
CHART, 22, 6
WRIST, 10, 6
EAGER, 27, 6
SUBMARINE, 27, 6
SOW, 3, 6
QUARREL, 20, 6
MYSELF, 0, 6
STURDY, 0, 6
MUSTARD, 20, 6
EAST, 183, 6
WALLET, 6, 6
COUNTER, 31, 6
WANDER, 8, 6
SPOILED, 6, 6
MAT, 5, 6
RINGS, 0, 6
CERAMIC, 9, 6
MONTH, 130, 6
ADDITION, 142, 6
SPINE, 6, 6
MONTHLY, 23, 6
FRIDAY, 60, 6
MODERN, 198, 6
RAILROAD, 58, 6
EMPLOYER, 15, 6
MONDAY, 68, 6
FLEXIBLE, 25, 6
EMPIRE, 22, 6
RACK, 9, 6
SHERIFF, 20, 6
CHANNEL, 16, 6
MOTEL, 24, 6
COCKY, 3, 6
CHAPTER, 74, 6
COFFIN, 7, 6
ELBOW, 10, 6
STROKE, 19, 6
STRIVE, 7, 6
CHAMPION, 23, 6
SHRINK, 5, 6
EVER, 345, 6
ADMIT, 37, 6
SHUT, 46, 6
VERB, 4, 6
GERM, 3, 6
FOR, 9489, 6
ROB, 19, 6
SKETCH, 16, 6
VELVET, 4, 6
ITALY, 0, 6
SUDDEN, 0, 6
AMBITION, 19, 6
MICROWAVE, 2, 6
DRESSING, 22, 6
HELPLESS, 0, 6
SKATE, 1, 6
NINE, 81, 6
HERD, 22, 6
PUMP, 11, 6
VALUES, 182, 6
SUGGEST, 54, 6
FRUSTRATE, 4, 6
SLACKS, 7, 6
ANGLE, 51, 6
SUICIDE, 17, 6
CARESS, 1, 6
YOURSELF, 0, 6
NONSENSE, 13, 6
CARELESS, 8, 6
NOTEBOOK, 2, 6
COMB, 6, 6
CRAFT, 23, 6
NICKEL, 7, 6
SPREAD, 83, 6
RIBS, 11, 6
COMEDIAN, 5, 6
FROM, 0, 6
EXPRESSION, 79, 6
BLOUSE, 1, 6
COMPETITION, 63, 6
DWARF, 3, 6
RUBY, 1, 6
NAPKIN, 3, 6
HANDICAP, 6, 6
NATURAL, 156, 6
COURSE, 465, 6
AIRHEAD, 0, 6
VOLT, 1, 6
EXTINCT, 1, 6
VIOLENCE, 46, 6
ALPHABET, 2, 6
STRANGER, 40, 6
SERVANT, 19, 6
VIDEO, 2, 6
DRIVEWAY, 14, 6
INTELLECT, 5, 6
VOID, 10, 6
QUALITY, 114, 6
STRAP, 2, 6
COPPER, 13, 6
VIRTUE, 30, 6
BROCCOLI, 1, 6
TERRIFIC, 5, 6
FOUNDATION, 38, 6
CONTENT, 53, 6
TART, 7, 6
CONTEST, 26, 6
BACTERIA, 8, 6
BRAN, 1, 6
SCOUT, 8, 6
BRACELET, 1, 6
FAVOR, 78, 6
SNOTTY, 0, 6
TOPIC, 9, 6
LINK, 25, 6
RELAXED, 14, 6
STOLEN, 18, 6
BIAS, 8, 6
FLUFFY, 1, 6
SALARY, 43, 6
ILLUSION, 37, 6
SCRAPE, 0, 6
BENEATH, 57, 6
TICKLE, 2, 6
PONDER, 1, 6
SMOKING, 8, 6
BEAST, 7, 6
BANDAGE, 4, 6
POLL, 0, 6
ROME, 0, 6
TENSION, 59, 6
PEAR, 6, 6
TAG, 5, 6
BADGE, 5, 6
BEAM, 21, 6
SNAIL, 1, 6
TAP, 18, 6
PLEASANT, 38, 6
LIZARD, 1, 6
JUPITER, 9, 6
PLAYGROUND, 4, 6
BARS, 0, 6
CUDDLE, 0, 6
PLOW, 12, 6
AWE, 5, 6
BARREL, 24, 6
CALF, 11, 6
KNOWN, 245, 6
CALIFORNIA, 65, 6
HUMBLE, 18, 6
AX, 6, 6
SYMPATHY, 44, 6
PENIS, 0, 6
ABUNDANCE, 13, 6
GOING, 399, 6
BASIC, 171, 6
TIMID, 5, 6
REGISTER, 26, 6
FEE, 16, 6
DEPARTMENT, 225, 6
TOOLS, 34, 6
SPECIFIC, 115, 6
SCOLD, 2, 6
EVERYDAY, 12, 6
FEDERAL, 246, 6
POETRY, 88, 6
STOCK, 147, 6
GLAD, 38, 6
ATTIC, 16, 6
REALITY, 79, 6
CONTINENT, 17, 6
LIPS, 69, 6
BUTTERFLY, 2, 6
LESSON, 29, 6
SAMPLE, 57, 6
GIVE UP, 0, 6
DAMN, 34, 6
BALLERINA, 1, 6
DEMOCRACY, 24, 6
INSTRUCTION, 26, 6
BETWEEN, 730, 6
CAFFEINE, 0, 6
SOCK, 4, 6
REFRIGERATOR, 23, 6
POSSIBILITY, 87, 6
ROMANTIC, 32, 6
HYPOTHESIS, 18, 6
ENTRY, 26, 6
LIPSTICK, 3, 6
PORT, 21, 6
SALUTE, 3, 6
DEMAND, 102, 6
THOUGHTFUL, 0, 6
SALESMAN, 12, 6
SOCKET, 3, 6
BEDROOM, 52, 6
GRACEFUL, 10, 6
BEAVER, 2, 6
PATTERN, 113, 6
SAYING, 113, 6
BELLY, 23, 6
DAMP, 16, 6
CIGAR, 10, 6
SCAR, 10, 6
DEW, 3, 6
PAVEMENT, 11, 6
PRINCE, 33, 6
SCARCE, 6, 6
CRUNCHY, 0, 6
SWAY, 5, 6
FASTEN, 4, 6
TRAIT, 3, 6
DEMOCRAT, 13, 6
REDUCE, 62, 5
SHALLOW, 14, 5
HEM, 4, 5
PISTOL, 27, 5
SAVIOR, 6, 5
ACE, 15, 5
HUMILIATE, 0, 5
BARF, 0, 5
NIKE, 0, 5
LEAGUE, 69, 5
FLOOD, 19, 5
WITNESS, 28, 5
THREAT, 42, 5
BROOM, 2, 5
LIMITED, 0, 5
STOCKING, 1, 5
SOAK, 18, 5
AISLE, 0, 5
DECOMPOSE, 1, 5
DECLINE, 31, 5
CUSTOM, 14, 5
BLOW UP, 0, 5
INCOME, 109, 5
AMATEUR, 25, 5
ALTERNATIVE, 34, 5
CURTAIN, 13, 5
DRIVING, 0, 5
KEEPER, 3, 5
GOLDEN, 42, 5
EQUATION, 33, 5
CLIQUE, 0, 5
SERVER, 3, 5
STEM, 29, 5
MEXICO, 19, 5
BOWLING, 0, 5
BOO, 0, 5
CHEER, 8, 5
ALMOST, 0, 5
KETTLE, 3, 5
COPS, 0, 5
DRILL, 33, 5
SEVERE, 39, 5
INVENTION, 0, 5
NEGLECT, 8, 5
ALGAE, 7, 5
HEARING, 76, 5
BAPTIST, 17, 5
VOLLEYBALL, 1, 5
INTERESTING, 82, 5
THINKING, 145, 5
AMAZEMENT, 0, 5
BROIL, 2, 5
CARS, 0, 5
MISSION, 78, 5
PLANTS, 2, 5
MELLOW, 1, 5
DRIP, 1, 5
MECHANIC, 5, 5
RECIPE, 8, 5
RIGID, 24, 5
WELFARE, 53, 5
HYDROGEN, 39, 5
JAZZ, 99, 5
DASH, 11, 5
ADJECTIVE, 2, 5
TELLER, 4, 5
BUMPY, 0, 5
COMMERCIAL, 61, 5
RACISM, 0, 5
MASSAGE, 2, 5
POPCORN, 0, 5
FRIENDSHIP, 27, 5
SPOIL, 3, 5
SALES, 2, 5
BRUISE, 3, 5
CLEVER, 17, 5
MARY, 88, 5
MIXTURE, 30, 5
ROSES, 7, 5
MOB, 10, 5
ELECTRON, 30, 5
DAUGHTER, 72, 5
ELECTION, 77, 5
BOB, 0, 5
MOLECULE, 6, 5
RAIL, 16, 5
COMMAND, 72, 5
ROT, 8, 5
EMPLOYMENT, 47, 5
CORPORATION, 90, 5
CERTAIN, 313, 5
COMICS, 0, 5
ENDANGERED, 0, 5
RAINBOW, 4, 5
MOIST, 11, 5
HAIRSPRAY, 0, 5
ENCYCLOPEDIA, 1, 5
CLIP, 0, 5
POST OFFICE, 0, 5
SPLASH, 3, 5
MICE, 10, 5
POSTER, 0, 5
HARMONY, 33, 5
POSSIBLE, 373, 5
INDUSTRY, 171, 5
POSSESSION, 21, 5
BOLT, 10, 5
SPAIN, 0, 5
MONK, 16, 5
CORRIDOR, 17, 5
CHARACTERISTIC, 68, 5
WANTED, 226, 5
CAUTIOUS, 10, 5
STIR, 7, 5
SAUSAGE, 1, 5
TAR, 12, 5
TARDY, 1, 5
EXAMPLE, 292, 5
FIN, 2, 5
MUSHROOM, 2, 5
RECYCLE, 0, 5
SAUCER, 2, 5
STEW, 5, 5
COUNT, 49, 5
WAKE, 23, 5
CABLE, 7, 5
SPONGE, 7, 5
WAITING, 0, 5
THE, 0, 5
HANDSOME, 40, 5
AIM, 37, 5
MYTHOLOGY, 3, 5
SPAN, 19, 5
COMMUNIST, 97, 5
INGREDIENT, 0, 5
PLUMBER, 4, 5
WALKWAY, 1, 5
POKE, 0, 5
EFFECT, 213, 5
FLASH, 21, 5
POINTS, 0, 5
TEXT, 60, 5
SATIN, 5, 5
ZONE, 11, 5
GLOW, 19, 5
POLICY, 222, 5
MEDIUM, 45, 5
CELEBRATE, 4, 5
HUNTER, 0, 5
SARCASTIC, 0, 5
MILL, 11, 5
AGGRAVATE, 1, 5
WARRIOR, 5, 5
MUSEUM, 32, 5
GENTLEMAN, 28, 5
MARCH, 120, 5
SATURDAY, 0, 5
CAVITY, 12, 5
MARKER, 5, 5
TARGET, 45, 5
MARINE, 55, 5
BLUNT, 9, 5
BOUNDARY, 16, 5
DETERIORATE, 1, 5
CRISIS, 82, 5
STALL, 18, 5
DETERMINE, 107, 5
MIDNIGHT, 23, 5
TORTURE, 3, 5
WITHDRAW, 0, 5
SCOTCH, 5, 5
KEYS, 34, 5
SEATBELT, 0, 5
LET GO, 0, 5
OUTRAGEOUS, 2, 5
DETAIL, 72, 5
FATE, 33, 5
CHORE, 7, 5
MAYONNAISE, 2, 5
COOKIES, 0, 5
ARMOR, 4, 5
ATTORNEY, 65, 5
GRANT, 47, 5
FOCUS, 40, 5
FOAM, 37, 5
PROFIT, 28, 5
SUPPLY, 102, 5
ROOSTER, 3, 5
TUNE, 10, 5
SLOPE, 19, 5
JOKER, 1, 5
RUST, 10, 5
BRIEF, 73, 5
FBI, 0, 5
IMPULSE, 20, 5
DESPAIR, 21, 5
STEADY, 0, 5
DISSOLVE, 6, 5
MAXIMUM, 79, 5
UNDERGROUND, 19, 5
REQUEST, 49, 5
CUBA, 0, 5
BRIEFCASE, 1, 5
COLA, 0, 5
OUTDOORS, 6, 5
OUTCOME, 26, 5
CONSCIOUS, 46, 5
REPRIMAND, 2, 5
CRIPPLE, 0, 5
CRYSTAL, 23, 5
UMBRELLA, 8, 5
TOOTHPASTE, 1, 5
APPOINTMENT, 28, 5
COOLER, 12, 5
FAINT, 25, 5
LOCAL, 288, 5
PRONOUN, 4, 5
COLONEL, 37, 5
IMMEDIATE, 81, 5
PARADISE, 12, 5
FOGGY, 5, 5
PARIS, 67, 5
IMMATURE, 7, 5
TRAILER, 11, 5
DIP, 6, 5
FOE, 8, 5
ROCKS, 23, 5
REMOTE, 0, 5
BIT, 101, 5
INSTINCT, 14, 5
STAR WARS, 0, 5
HOOP, 3, 5
IMAGINE, 61, 5
STAPLE, 1, 5
PASSIVE, 11, 5
ASSUME, 63, 5
TRAITOR, 2, 5
TRAINING, 0, 5
BREAKABLE, 1, 5
SMELLY, 0, 5
SOMETIMES, 221, 5
CONFINE, 0, 5
ROCKY, 0, 5
ASSIGNMENT, 62, 5
TRUNK, 8, 5
DISC, 6, 5
LOGIC, 17, 5
MECHANICAL, 34, 5
DIAL, 1, 5
PAL, 2, 5
PAINTER, 21, 5
TRUTHFUL, 1, 5
MAZE, 6, 5
IMPATIENT, 10, 5
TOW, 1, 5
KNIT, 10, 5
PAID, 0, 5
HOPELESS, 14, 5
COOKED, 10, 5
REMAIN, 93, 5
PATCH, 13, 5
BUFFALO, 16, 5
SACK, 8, 5
SWEEP, 15, 5
SURROUNDING, 27, 5
PANEL, 31, 5
DISALLOW, 0, 5
CANAL, 3, 5
DISABILITY, 0, 5
GRANDFATHER, 0, 5
PANIC, 22, 5
DISTANT, 37, 5
RESTLESS, 0, 5
GRIND, 2, 5
DOPE, 2, 5
SAILING, 20, 5
CUNNING, 5, 5
PUKE, 1, 5
EXTREME, 62, 5
FRAUD, 8, 5
NOVICE, 3, 5
HI, 0, 5
NUCLEUS, 11, 5
PICKLES, 1, 5
BEYOND, 175, 5
GRILL, 12, 5
FOUL, 4, 5
DON'T KNOW, 0, 5
RESPONSIBLE, 71, 5
UPTIGHT, 0, 5
URANUS, 0, 5
SOLAR SYSTEM, 0, 5
SCENE, 106, 5
GOODNESS, 16, 5
ETHICS, 19, 5
MAFIA, 0, 5
YOURS, 25, 5
PUBLIX, 0, 5
HERMIT, 0, 5
THROW UP, 0, 5
NORM, 10, 5
THROW AWAY, 0, 5
BLOB, 0, 5
VARIETY, 85, 5
GROCERY, 9, 5
NOON, 25, 5
COAL, 32, 5
REAL ESTATE, 0, 5
KITE, 1, 5
BAIT, 2, 5
GAY, 0, 5
LABEL, 19, 5
BEWARE, 3, 5
SPIKE, 2, 5
PUMPKIN, 2, 5
WITHOUT, 583, 5
CARBON, 30, 5
DEMOLISH, 4, 5
RASPBERRY, 1, 5
INCLINE, 4, 5
DOZEN, 52, 5
SUE, 18, 5
TICK, 3, 5
CLARIFY, 13, 5
BLINK, 0, 5
ABANDON, 0, 5
PERCENT, 53, 5
RATE, 209, 5
FEAST, 3, 5
UNHEALTHY, 0, 5
INTEGRITY, 10, 5
CAPE, 20, 5
LANDSCAPE, 20, 5
BLAND, 0, 5
ETERNAL, 29, 5
CLUMSY, 6, 5
TOES, 19, 5
BRING, 158, 5
FITNESS, 8, 5
HIPPIE, 0, 5
KLEENEX, 1, 5
LOBSTER, 1, 5
CONCENTRATE, 11, 5
APPEAR, 118, 5
TONE, 78, 5
STADIUM, 25, 5
UNDERWEAR, 3, 5
CREEK, 14, 5
LASER, 0, 5
CONSENT, 0, 5
ESP, 0, 5
DISTRUST, 0, 5
DISTURB, 10, 5
UNNECESSARY, 0, 5
OCCURRENCE, 0, 5
OCCASION, 0, 5
INFINITY, 2, 5
STRAIN, 31, 5
HOSTAGE, 2, 5
UPPER, 0, 5
BABE, 0, 5
GIRAFFE, 0, 5
SLAP, 2, 5
ROMAN, 58, 5
BLEND, 9, 5
OBVIOUS, 92, 5
TOASTER, 0, 5
CITIZEN, 30, 5
UNSAFE, 0, 5
LEDGE, 6, 5
CUCUMBER, 0, 5
BURNT, 6, 5
ANTLER, 3, 5
ANTIQUE, 12, 5
PSYCHOLOGIST, 0, 5
PERMISSION, 27, 5
DESCEND, 4, 5
PREY, 7, 5
MEADOW, 17, 4
EXCEPTIONAL, 19, 4
EXAMINE, 33, 4
HANDWRITING, 0, 4
EXCESS, 0, 4
INNOCENCE, 28, 4
GATHERING, 28, 4
KNOT, 8, 4
INHALE, 1, 4
LACK, 110, 4
INMATE, 1, 4
GASP, 0, 4
KIDNAP, 0, 4
INSTANT, 38, 4
FORESIGHT, 5, 4
GARAGE, 21, 4
GANGSTER, 2, 4
KIN, 2, 4
GERMANY, 0, 4
INCLUDE, 0, 4
FLAKE, 1, 4
FIREMAN, 1, 4
LEGEND, 26, 4
IMPRESSION, 45, 4
FLAKES, 4, 4
FLEA, 2, 4
GEEK, 0, 4
GEAR, 26, 4
GEORGE, 129, 4
INCREDIBLE, 0, 4
LAVISH, 0, 4
ISSUE, 152, 4
FROWN, 1, 4
ITCHY, 0, 4
FRAGRANCE, 6, 4
FRAIL, 8, 4
ISOLATED, 35, 4
ITEMS, 0, 4
JANE, 0, 4
JELLO, 0, 4
FRIGHTENED, 26, 4
IVORY, 17, 4
JEW, 0, 4
FRINGE, 0, 4
JUSTIFY, 26, 4
INTERIOR, 74, 4
INTERSTATE, 14, 4
INSTRUCTOR, 8, 4
KEG, 2, 4
KARATE, 0, 4
INTRICATE, 0, 4
JUG, 6, 4
JUDGMENT, 60, 4
IRREGULAR, 9, 4
INVENT, 7, 4
JUMPY, 2, 4
FUND, 62, 4
MAJORITY, 57, 4
EXTRAVAGANT, 5, 4
GREETING, 0, 4
EXPRESS, 42, 4
MALES, 0, 4
HELMET, 1, 4
HIKING, 2, 4
GRAVITY, 7, 4
HITCH, 5, 4
LOUNGE, 9, 4
FACTS, 87, 4
FAD, 2, 4
LOVERS, 10, 4
GUTS, 0, 4
EXOTIC, 0, 4
EXPAND, 0, 4
EXHAUST, 0, 4
HAUL, 5, 4
MASCARA, 1, 4
HAZY, 0, 4
HEADLINE, 0, 4
MANUFACTURE, 18, 4
MANIAC, 0, 4
HE, 9543, 4
HEADING, 32, 4
MAPLE, 7, 4
LIGHTS, 0, 4
LIEUTENANT, 29, 4
LIES, 0, 4
FESTIVAL, 27, 4
FIBER, 27, 4
GOALS, 0, 4
I, 5173, 4
GIGGLE, 1, 4
LEND, 14, 4
LEMONADE, 3, 4
LEVER, 14, 4
IDOL, 7, 4
LET, 384, 4
HOLLOW, 0, 4
FAMISHED, 0, 4
LONDON, 89, 4
FAIRYTALE, 1, 4
GRAVEL, 9, 4
LOTION, 0, 4
GOVERNOR, 83, 4
GOO, 0, 4
FEMININE, 0, 4
LINES, 0, 4
GORGEOUS, 7, 4
HOUND, 7, 4
HOUSING, 0, 4
EVALUATE, 13, 4
REFLECT, 25, 4
THOUGHTS, 0, 4
CONSTRUCT, 12, 4
BALLS, 0, 4
CONTACT, 63, 4
REDO, 0, 4
THOUSAND, 0, 4
BALD, 5, 4
THESIS, 11, 4
REINDEER, 0, 4
RELIABLE, 22, 4
RELATION, 63, 4
THIRTEEN, 0, 4
REFLEX, 0, 4
THIGH, 9, 4
BANDIT, 3, 4
THRILL, 0, 4
RAY, 19, 4
TOAD, 4, 4
READING, 140, 4
READER, 43, 4
RAKE, 11, 4
RAISIN, 1, 4
AVENUE, 46, 4
RANCH, 27, 4
RECORDER, 0, 4
RECOGNITION, 44, 4
THUNDER, 14, 4
BAGGAGE, 4, 4
BAGEL, 0, 4
REALIZE, 69, 4
CONTINUE, 0, 4
CONTINUOUS, 0, 4
COMPLAINT, 0, 4
THAN, 1789, 4
COMPETE, 23, 4
COMPLAIN, 11, 4
RESTROOM, 1, 4
BARTER, 0, 4
THANKSGIVING, 8, 4
RESUME, 0, 4
RITUAL, 27, 4
BATMAN, 0, 4
ROAM, 6, 4
COMET, 2, 4
TEST TUBE, 0, 4
COMPASSION, 5, 4
BATHTUB, 4, 4
RIDER, 16, 4
RESPOND, 21, 4
RENEW, 0, 4
CONFIDENT, 16, 4
CONDUCT, 0, 4
CONE, 13, 4
REMARK, 31, 4
BARE, 0, 4
THEME, 55, 4
THEN, 0, 4
THEFT, 10, 4
REPRODUCE, 7, 4
BARRIER, 9, 4
BARRICADE, 0, 4
REPETITIVE, 0, 4
REPENT, 0, 4
REPORTER, 0, 4
REPLACE, 30, 4
AUTUMN, 22, 4
PRICELESS, 5, 4
PREVENT, 0, 4
TROPICAL, 11, 4
PRICK, 2, 4
PRESENCE, 76, 4
CUPS, 14, 4
ARRANGE, 0, 4
CULT, 0, 4
PROCRASTINATE, 0, 4
PROCEDURE, 79, 4
CROPS, 18, 4
PRODUCER, 10, 4
ARTISTIC, 0, 4
CRUNCH, 2, 4
PRO, 16, 4
TROMBONE, 0, 4
PRESCRIPTION, 5, 4
DANDRUFF, 0, 4
DARING, 12, 4
POSTAGE, 0, 4
DAISY, 3, 4
POPE, 40, 4
POMPOUS, 0, 4
TWEEZERS, 0, 4
DARKNESS, 43, 4
PRANK, 1, 4
PRAIRIE, 21, 4
TUBA, 1, 4
ARMED FORCES, 0, 4
POTENTIAL, 67, 4
POTATOES, 15, 4
TUMBLE, 3, 4
TUMMY, 0, 4
QUOTE, 0, 4
ATTIRE, 6, 4
TORCH, 2, 4
TORN, 25, 4
ATLAS, 12, 4
COURTEOUS, 0, 4
COUNTY, 155, 4
QUANTITY, 33, 4
TOOTHBRUSH, 6, 4
RACQUETBALL, 0, 4
CORPSE, 7, 4
RADICAL, 0, 4
COSTUME, 10, 4
AUDIENCE, 115, 4
RACKET, 5, 4
RACCOON, 1, 4
TRADITION, 94, 4
ASSAULT, 15, 4
CREEP, 0, 4
PROTON, 3, 4
ASSEMBLE, 0, 4
PROGRAM, 394, 4
TRIGONOMETRY, 0, 4
ASPHALT, 3, 4
PROHIBIT, 2, 4
PUNCTUATION, 2, 4
PUB, 1, 4
CRACKERS, 4, 4
PUPIL, 20, 4
PRUNE, 1, 4
CREATURE, 15, 4
ASSOCIATE, 21, 4
TREAT, 26, 4
TERRITORY, 31, 4
SUPERVISOR, 5, 4
CANVAS, 19, 4
SUPERMAN, 0, 4
SLUT, 0, 4
SUPPER, 37, 4
SLEEPY, 6, 4
CANYON, 12, 4
CAPABILITY, 14, 4
CAFE, 20, 4
SNIFF, 2, 4
SUBWAY, 7, 4
BLOCKS, 37, 4
SMUSH, 0, 4
BLACKS, 0, 4
BLAST, 15, 4
SNEAKER, 2, 4
CAPTIVE, 5, 4
SITE, 64, 4
CASHIER, 0, 4
SKELETON, 2, 4
CARRIAGE, 11, 4
CASSETTE, 0, 4
CASUAL, 22, 4
SINCERITY, 13, 4
CASKET, 1, 4
BIZARRE, 7, 4
SKUNK, 1, 4
SURFACE, 200, 4
SLAM, 0, 4
SURRENDER, 0, 4
CARNIVAL, 9, 4
CARDINAL, 16, 4
CAREFREE, 0, 4
BORN, 0, 4
SPLINTER, 4, 4
BOUND, 42, 4
BRONZE, 11, 4
SPICY, 1, 4
STOOL, 8, 4
BUCK, 20, 4
BUD, 9, 4
BOXING, 0, 4
STEER, 9, 4
BREAKDOWN, 0, 4
STATUS, 97, 4
STEPS, 119, 4
STERN, 23, 4
BRILLIANT, 50, 4
SQUISH, 0, 4
BOOBS, 0, 4
BUZZ, 13, 4
SUB, 5, 4
BLUES, 22, 4
SOFTBALL, 0, 4
SUBURB, 13, 4
CAB, 12, 4
SOBER, 19, 4
SUBSTANCE, 33, 4
STRIP, 30, 4
SPANK, 0, 4
BUGS, 0, 4
STRINGS, 0, 4
BOILED, 10, 4
SOPHISTICATED, 26, 4
SOVIET, 0, 4
BUREAU, 43, 4
CATASTROPHE, 11, 4
SCRIPT, 0, 4
SCRIBBLE, 1, 4
CHORUS, 1, 4
SEAM, 18, 4
CINEMA, 3, 4
SCHEME, 33, 4
SCREWDRIVER, 0, 4
CINDERELLA, 0, 4
SEEN, 0, 4
CHIMPANZEE, 0, 4
CHILI, 6, 4
BETRAYAL, 0, 4
BERRY, 9, 4
SEASON, 105, 4
CHOIR, 8, 4
TALKATIVE, 0, 4
CLAIM, 98, 4
CLUTTER, 0, 4
COARSE, 0, 4
SADDLE, 25, 4
RUNNING, 123, 4
COLORS, 0, 4
COMA, 1, 4
TERM, 79, 4
COLOGNE, 9, 4
SCALES, 5, 4
BELIEFS, 0, 4
SCATTER, 0, 4
SCARF, 4, 4
BEGINNER, 1, 4
SAFARI, 2, 4
CLIMATE, 26, 4
BEHAVE, 0, 4
SWIMMING, 0, 4
SYMPHONY, 33, 4
SHOVE, 2, 4
CEREMONY, 18, 4
SHED, 11, 4
SYNAGOGUE, 3, 4
SHIVER, 4, 4
SHIFT, 41, 4
CD, 0, 4
SWAN, 3, 4
SIGNATURE, 6, 4
BISCUIT, 2, 4
CELLO, 0, 4
SHUTTLE, 0, 4
BIRDS, 57, 4
CELLAR, 26, 4
CHARLES, 0, 4
SELLER, 6, 4
CHICAGO, 0, 4
TACK, 4, 4
TACKLE, 10, 4
TAKEOVER, 0, 4
CHILDISH, 11, 4
CHICK, 3, 4
SELF-ESTEEM, 0, 4
SYNTHETIC, 0, 4
SHACK, 1, 4
SHATTER, 2, 4
SHAKESPEARE, 0, 4
SESSION, 80, 4
SENATOR, 40, 4
SEWER, 0, 4
SETTING, 0, 4
NOT ALLOW, 0, 4
NOSY, 0, 4
NUDE, 0, 4
WALKER, 17, 4
NO GOOD, 0, 4
DREARY, 0, 4
NOOSE, 3, 4
NOD, 0, 4
ALBUM, 6, 4
OBLIGATION, 16, 4
OBSCURE, 17, 4
VOLUNTEER, 9, 4
DOORWAY, 15, 4
WAIST, 11, 4
OAR, 0, 4
NUTRITION, 0, 4
ADVERB, 1, 4
NATION, 139, 4
DUNGEON, 2, 4
ADVERTISEMENT, 2, 4
DYE, 0, 4
NAG, 0, 4
WEARY, 17, 4
WEAVE, 4, 4
AGENDA, 5, 4
AFTERNOON, 106, 4
NIGHTGOWN, 0, 4
NEWTON, 6, 4
AFFECT, 35, 4
AFFAIR, 33, 4
WASHINGTON, 0, 4
WASTED, 16, 4
VOLUME, 135, 4
VIETNAM, 0, 4
OUTLAW, 2, 4
AMBULANCE, 6, 4
OVERALL, 0, 4
VILLAIN, 7, 4
ORGASM, 0, 4
AM, 0, 4
OUTCAST, 0, 4
PANTHER, 1, 4
PALE, 58, 4
PANTYHOSE, 0, 4
VERDICT, 14, 4
